,D,brier score,,
Allan Lichtman,1,0,,
Nate Silvers,0.87,0.0169,,
Helmut Norpoth,0.09,0.8281,,
Chandrasekhar Putcha,0.49,0.2601,,
,,,,
,,,,
,,,Expert,brier score
,,,Allan Lichtman,0
,,,Nate Silvers,0.0169
,,,Helmut Norpoth,0.8281
,,,Chandrasekhar Putcha,0.2601
