,Date,CloseSharePrice,model,office,candidate,win_prob
71,8/26/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007692307692307694
72,8/26/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007692307692307694
73,8/26/2020 12:00:00 AM,0.01,PredictIt,P,Clinton,0.007692307692307694
74,8/26/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007692307692307694
75,8/26/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007692307692307694
76,8/26/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007692307692307694
77,8/26/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007692307692307694
78,8/27/2020 12:00:00 AM,0.03,PredictIt,P,Harris,0.02307692307692307
79,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007692307692307691
80,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007692307692307691
81,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007692307692307691
82,8/27/2020 12:00:00 AM,0.57,PredictIt,P,Biden,0.43846153846153835
83,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007692307692307691
84,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007692307692307691
85,8/27/2020 12:00:00 AM,0.46,PredictIt,P,Trump,0.3538461538461538
86,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007692307692307691
87,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007692307692307691
88,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007692307692307691
89,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007692307692307691
90,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007692307692307691
91,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007692307692307691
92,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007692307692307691
93,8/27/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007692307692307691
94,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007692307692307691
95,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007692307692307691
96,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007692307692307691
97,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007692307692307691
98,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007692307692307691
99,8/27/2020 12:00:00 AM,0.02,PredictIt,P,Clinton,0.015384615384615382
100,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007692307692307691
101,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007692307692307691
102,8/27/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007692307692307691
103,8/27/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007692307692307691
104,8/28/2020 12:00:00 AM,0.05,PredictIt,P,Harris,0.03816793893129771
