date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-11-03,pec,P,OK,D,BIDEN,0.0,-0.22,,
2020-11-03,pec,P,OK,R,TRUMP,1.0,0.22,,
2020-11-03,pec,P,OR,D,BIDEN,1.0,0.2,,
2020-11-03,pec,P,OR,R,TRUMP,0.0,-0.2,,
2020-11-03,pec,P,PA,D,BIDEN,0.89,0.05,,
2020-11-03,pec,P,PA,R,TRUMP,0.11,-0.05,,
2020-11-03,pec,P,RI,D,BIDEN,1.0,0.26,,
2020-11-03,pec,P,RI,R,TRUMP,0.0,-0.26,,
2020-11-03,pec,P,SC,D,BIDEN,0.02,-0.0752,,
2020-11-03,pec,P,SC,R,TRUMP,0.98,0.0752,,
2020-11-03,pec,P,SD,D,BIDEN,0.04,-0.15,,
2020-11-03,pec,P,SD,R,TRUMP,0.96,0.15,,
2020-11-03,pec,P,TN,D,BIDEN,0.04,-0.09,,
2020-11-03,pec,P,TN,R,TRUMP,0.96,0.09,,
2020-11-03,pec,P,TX,D,BIDEN,0.21,-0.027,,
2020-11-03,pec,P,TX,R,TRUMP,0.79,0.027,,
2020-11-03,pec,P,UT,D,BIDEN,0.0,-0.1,,
2020-11-03,pec,P,UT,R,TRUMP,1.0,0.1,,
2020-11-03,pec,P,VA,D,BIDEN,1.0,0.12,,
2020-11-03,pec,P,VA,R,TRUMP,0.0,-0.12,,
2020-11-03,pec,P,VT,D,BIDEN,0.99,0.3,,
2020-11-03,pec,P,VT,R,TRUMP,0.01,-0.3,,
2020-11-03,pec,P,WA,D,BIDEN,1.0,0.23,,
2020-11-03,pec,P,WA,R,TRUMP,0.0,-0.23,,
2020-11-03,pec,P,WI,D,BIDEN,0.95,0.085,,
2020-11-03,pec,P,WI,R,TRUMP,0.05,-0.085,,
2020-11-03,pec,P,WV,D,BIDEN,0.05,-0.201,,
2020-11-03,pec,P,WV,R,TRUMP,0.95,0.201,,
2020-11-03,pec,P,WY,D,BIDEN,0.0,-0.305,,
2020-11-03,pec,P,WY,R,TRUMP,1.0,0.305,,
2020-11-03,pec,S,AK,D,,0.2,-0.03,,
2020-11-03,pec,S,AK,R,,0.8,0.03,,
2020-11-03,pec,S,AL,D,,0.01,-0.121,,
2020-11-03,pec,S,AL,R,,0.99,0.121,,
2020-11-03,pec,S,AZ,D,,0.92,0.055,,
2020-11-03,pec,S,AZ,R,,0.08,-0.055,,
2020-11-03,pec,S,CO,D,,0.98,0.1,,
2020-11-03,pec,S,CO,R,,0.02,-0.1,,
2020-11-03,pec,S,GA,D,,0.64,0.012,,
2020-11-03,pec,S,GA,R,,0.36,-0.012,,
2020-11-03,pec,S,GS,D,,0.72,0.02,,
2020-11-03,pec,S,GS,R,,0.28,-0.02,,
2020-11-03,pec,S,IA,D,,0.72,0.02,,
2020-11-03,pec,S,IA,R,,0.28,-0.02,,
2020-11-03,pec,S,KS,D,,0.16,-0.0357,,
2020-11-03,pec,S,KS,R,,0.84,0.0357,,
2020-11-03,pec,S,KY,D,,0.02,-0.104,,
2020-11-03,pec,S,KY,R,,0.98,0.104,,
2020-11-03,pec,S,ME,D,,0.77,0.025,,
2020-11-03,pec,S,ME,R,,0.23,-0.025,,
2020-11-03,pec,S,MI,D,,0.96,0.076,,
2020-11-03,pec,S,MI,R,,0.04,-0.076,,
2020-11-03,pec,S,MN,D,,0.97,0.095,,
2020-11-03,pec,S,MN,R,,0.03,-0.095,,
2020-11-03,pec,S,MS,D,,0.2,0.01,,
2020-11-03,pec,S,MS,R,,0.8,-0.01,,
2020-11-03,pec,S,MT,D,,0.62,0.1,,
2020-11-03,pec,S,MT,R,,0.38,-0.1,,
2020-11-03,pec,S,NC,D,,0.81,-0.022,,
2020-11-03,pec,S,NC,R,,0.19,0.022,,
2020-11-03,pec,S,NH,D,,0.98,0.19,,
2020-11-03,pec,S,NH,R,,0.02,-0.19,,
2020-11-03,pec,S,NM,D,,1.0,0.031,,
2020-11-03,pec,S,NM,R,,0.0,-0.031,,
2020-11-03,pec,S,SC,D,,0.26,-0.05,,
2020-11-03,pec,S,SC,R,,0.74,0.05,,
2020-11-03,pec,S,TX,D,,0.1,-0.03,,
2020-11-03,pec,S,TX,R,,0.9,0.03,,
