,index,candidate,date,est_diff,est_share,est_share_2p,model,office,party,prediction,state,win_prob
81,45,TRUMP,2020-10-27,,,,UVA,P,R,safe,SC,1.0
82,102,BIDEN,2020-10-27,,,,UVA,P,D,not safe,SD,0.0
83,46,TRUMP,2020-10-27,,,,UVA,P,R,safe,SD,1.0
84,103,BIDEN,2020-10-27,,,,UVA,P,D,not safe,TN,0.0
85,47,TRUMP,2020-10-27,,,,UVA,P,R,safe,TN,1.0
86,104,BIDEN,2020-10-27,,,,UVA,P,D,not lean,TX,0.4
87,48,TRUMP,2020-10-27,,,,UVA,P,R,lean,TX,0.6
88,105,BIDEN,2020-10-27,,,,UVA,P,D,not safe,UT,0.0
89,49,TRUMP,2020-10-27,,,,UVA,P,R,safe,UT,1.0
90,50,BIDEN,2020-10-27,,,,UVA,P,D,safe,VA,1.0
91,106,TRUMP,2020-10-27,,,,UVA,P,R,not safe,VA,0.0
92,107,TRUMP,2020-10-27,,,,UVA,P,R,not safe,VT,0.0
93,51,BIDEN,2020-10-27,,,,UVA,P,D,safe,VT,1.0
94,108,TRUMP,2020-10-27,,,,UVA,P,R,not safe,WA,0.0
95,52,BIDEN,2020-10-27,,,,UVA,P,D,safe,WA,1.0
96,109,TRUMP,2020-10-27,,,,UVA,P,R,not favored,WI,0.2
97,53,BIDEN,2020-10-27,,,,UVA,P,D,favored,WI,0.8
98,110,BIDEN,2020-10-27,,,,UVA,P,D,not safe,WV,0.0
99,54,TRUMP,2020-10-27,,,,UVA,P,R,safe,WV,1.0
100,55,TRUMP,2020-10-27,,,,UVA,P,R,safe,WY,1.0
101,111,BIDEN,2020-10-27,,,,UVA,P,D,not safe,WY,0.0
