date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-10-05,northwestern,P,AZ,D,Biden,0.816,,,
2020-10-05,northwestern,P,AZ,R,Trump,0.18400000000000005,,,
2020-10-19,northwestern,P,AZ,D,Biden,0.7509999999999999,,,
2020-10-19,northwestern,P,AZ,R,Trump,0.2490000000000001,,,
2020-10-23,northwestern,P,AZ,D,Biden,0.785,,,
2020-10-23,northwestern,P,AZ,R,Trump,0.21499999999999997,,,
2020-10-25,northwestern,P,AZ,D,Biden,0.779,,,
2020-10-25,northwestern,P,AZ,R,Trump,0.22099999999999997,,,
2020-10-27,northwestern,P,AZ,D,Biden,0.769,,,
2020-10-27,northwestern,P,AZ,R,Trump,0.23099999999999998,,,
2020-10-28,northwestern,P,AZ,D,Biden,0.7829999999999999,,,
2020-10-28,northwestern,P,AZ,R,Trump,0.21700000000000008,,,
2020-10-29,northwestern,P,AZ,D,Biden,0.78,,,
2020-10-29,northwestern,P,AZ,R,Trump,0.21999999999999997,,,
2020-10-31,northwestern,P,AZ,D,Biden,0.7829999999999999,,,
2020-10-31,northwestern,P,AZ,R,Trump,0.21700000000000008,,,
2020-11-03,northwestern,P,AZ,D,Biden,0.769,,,
2020-11-03,northwestern,P,AZ,R,Trump,0.23099999999999998,,,
2020-10-05,northwestern,P,CO,D,Biden,0.998,,,
2020-10-05,northwestern,P,CO,R,Trump,0.0020000000000000018,,,
2020-10-19,northwestern,P,CO,D,Biden,0.998,,,
2020-10-19,northwestern,P,CO,R,Trump,0.0020000000000000018,,,
2020-10-23,northwestern,P,CO,D,Biden,0.998,,,
2020-10-23,northwestern,P,CO,R,Trump,0.0020000000000000018,,,
2020-10-25,northwestern,P,CO,D,Biden,0.9990000000000001,,,
2020-10-25,northwestern,P,CO,R,Trump,0.0009999999999998899,,,
2020-10-27,northwestern,P,CO,D,Biden,0.9990000000000001,,,
2020-10-27,northwestern,P,CO,R,Trump,0.0009999999999998899,,,
2020-10-28,northwestern,P,CO,D,Biden,0.9990000000000001,,,
2020-10-28,northwestern,P,CO,R,Trump,0.0009999999999998899,,,
2020-10-29,northwestern,P,CO,D,Biden,1.0,,,
2020-10-29,northwestern,P,CO,R,Trump,0.0,,,
2020-10-31,northwestern,P,CO,D,Biden,0.9990000000000001,,,
2020-10-31,northwestern,P,CO,R,Trump,0.0009999999999998899,,,
2020-11-03,northwestern,P,CO,D,Biden,0.998,,,
2020-11-03,northwestern,P,CO,R,Trump,0.0020000000000000018,,,
2020-10-05,northwestern,P,FL,D,Biden,0.85,,,
2020-10-05,northwestern,P,FL,R,Trump,0.15000000000000002,,,
2020-10-19,northwestern,P,FL,D,Biden,0.7909999999999999,,,
2020-10-19,northwestern,P,FL,R,Trump,0.20900000000000007,,,
2020-10-23,northwestern,P,FL,D,Biden,0.792,,,
2020-10-23,northwestern,P,FL,R,Trump,0.20799999999999996,,,
2020-10-25,northwestern,P,FL,D,Biden,0.795,,,
2020-10-25,northwestern,P,FL,R,Trump,0.20499999999999996,,,
2020-10-27,northwestern,P,FL,D,Biden,0.775,,,
2020-10-27,northwestern,P,FL,R,Trump,0.22499999999999998,,,
2020-10-28,northwestern,P,FL,D,Biden,0.7859999999999999,,,
